,Coef,Feature
0,52916.760262331794,bedrooms
1,86801.69340594616,bathrooms
4,118572.8738786928,waterfront
5,-13302.098714899757,greenbelt
6,-24759.166365907276,nuisance
7,-27906.283468189962,view
9,124429.0608942358,grade
14,-883.6548278832943,yr_built
